Strng:bring creeped<count> Count:2<count> Probability:1.0
Strng:wait lists<count> Count:2<count> Probability:1.0
Strng:working weekends<count> Count:2<count> Probability:1.0
Strng:being hung<count> Count:2<count> Probability:0.6666667
Strng:being covered<count> Count:2<count> Probability:0.5
Strng:sitting on<count> Count:2<count> Probability:0.3409091
Strng:lifting eery<count> Count:2<count> Probability:1.0
Strng:meeting new<count> Count:2<count> Probability:0.11111111
Strng:leaving vacation<count> Count:2<count> Probability:1.0
Strng:wearing fleece<count> Count:2<count> Probability:1.0
Strng:getting hurt<count> Count:2<count> Probability:0.3
Strng:discussing things<count> Count:2<count> Probability:1.0
Strng:football so<count> Count:2<count> Probability:0.6666667
Strng:doing controlled<count> Count:2<count> Probability:1.0
Strng:mentioning something<count> Count:2<count> Probability:1.0
Strng:getting replies<count> Count:2<count> Probability:1.0
Strng:typing papers<count> Count:2<count> Probability:1.0
Strng:getting fag<count> Count:2<count> Probability:1.0
Strng:being bitched<count> Count:2<count> Probability:1.0
Strng:being guilty<count> Count:2<count> Probability:0.5
Strng:having full<count> Count:2<count> Probability:1.0E-13
Strng:stepping in<count> Count:2<count> Probability:0.6666667
Strng:being super<count> Count:2<count> Probability:0.71428573
Strng:being deaded<count> Count:2<count> Probability:1.0
Strng:watching horror<count> Count:2<count> Probability:1.0
Strng:pulling weeds<count> Count:2<count> Probability:1.0
Strng:getting walked<count> Count:2<count> Probability:1.0
Strng:smelling cigarette<count> Count:2<count> Probability:1.0
Strng:getting gas<count> Count:2<count> Probability:1.0
Strng:doing drugs<count> Count:2<count> Probability:0.5
Strng:having tinnitus<count> Count:2<count> Probability:1.0
Strng:being squished<count> Count:2<count> Probability:1.0
Strng:being such<count> Count:2<count> Probability:0.54545456
Strng:being pissy<count> Count:2<count> Probability:1.0
Strng:working late<count> Count:2<count> Probability:0.5
Strng:getting replaced<count> Count:2<count> Probability:1.0
Strng:seeing lighting<count> Count:2<count> Probability:1.0
Strng:being micromanaged<count> Count:2<count> Probability:1.0
Strng:physics and<count> Count:2<count> Probability:0.46153846
Strng:getting slow<count> Count:2<count> Probability:0.5
Strng:making chem<count> Count:2<count> Probability:1.0
Strng:getting one<count> Count:2<count> Probability:0.33333334
