Strng:buying leggings for<count> Count:2<count> Probability:1.0
Strng:texting people and<count> Count:2<count> Probability:1.0
Strng:mornings in my<count> Count:2<count> Probability:1.0
Strng:being awake dumb<count> Count:2<count> Probability:1.0
Strng:being in college<count> Count:2<count> Probability:1.0
Strng:being sick the<count> Count:2<count> Probability:1.0
Strng:being attractive #tired<count> Count:2<count> Probability:0.01
Strng:fire alarms when<count> Count:2<count> Probability:1.0
Strng:doing laundry when<count> Count:2<count> Probability:1.0
Strng:spending my class<count> Count:2<count> Probability:1.0
Strng:playing monster trucks<count> Count:2<count> Probability:1.0
Strng:getting ignored #xboxstrikesagain<count> Count:2<count> Probability:0.01
Strng:being hit in<count> Count:2<count> Probability:1.0
Strng:getting buckets of<count> Count:2<count> Probability:1.0
Strng:sitting on hold<count> Count:2<count> Probability:1.0
Strng:getting assigned papers<count> Count:2<count> Probability:1.0
Strng:feeling rejected and<count> Count:2<count> Probability:0.01
Strng:hearing things about<count> Count:2<count> Probability:1.0
Strng:getting replaced #ihateit<count> Count:2<count> Probability:0.01
Strng:being called &amp<count> Count:2<count> Probability:1.0
Strng:taking notes for<count> Count:2<count> Probability:1.0
Strng:having homework even<count> Count:2<count> Probability:1.0
Strng:kicking elbows at<count> Count:2<count> Probability:1.0
Strng:being greeted by<count> Count:2<count> Probability:1.0
Strng:getting stuff for<count> Count:2<count> Probability:1.0
Strng:getting my car<count> Count:2<count> Probability:0.6666667
Strng:having full body<count> Count:2<count> Probability:0.01
Strng:being alone {number}<count> Count:2<count> Probability:0.01
Strng:getting in trouble<count> Count:2<count> Probability:0.6
Strng:getting charged a<count> Count:2<count> Probability:1.0
Strng:being ignored #tiredofthis<count> Count:2<count> Probability:0.01
Strng:getting hate it<count> Count:2<count> Probability:1.0
Strng:getting my teeth<count> Count:2<count> Probability:1.0
Strng:being approached by<count> Count:2<count> Probability:1.0
Strng:checking references #recruitment<count> Count:2<count> Probability:0.01
Strng:getting punched and<count> Count:2<count> Probability:1.0
Strng:spending time at<count> Count:2<count> Probability:1.0
Strng:feeling betrayed i<count> Count:2<count> Probability:0.01
Strng:throbbing headaches when<count> Count:2<count> Probability:1.0
Strng:hearing sirens outside<count> Count:2<count> Probability:1.0
Strng:downloading apps or<count> Count:2<count> Probability:1.0
Strng:being locked in<count> Count:2<count> Probability:1.0
Strng:being friend zoned<count> Count:2<count> Probability:0.5
Strng:going {number} mph<count> Count:2<count> Probability:0.01
Strng:seeing the hairy<count> Count:2<count> Probability:1.0
