Token:doing food tech<delim> Count:2<delim> Probability:1.0
Token:being used y'all<delim> Count:2<delim> Probability:0.01
Token:doing college work<delim> Count:2<delim> Probability:1.0
Token:having fake friends<delim> Count:2<delim> Probability:1.0
Token:working til {number}<delim> Count:2<delim> Probability:0.01
Token:being asked to<delim> Count:2<delim> Probability:1.0
Token:cleaning spilt yogurt<delim> Count:2<delim> Probability:1.0
Token:watching programs about<delim> Count:2<delim> Probability:1.0
Token:being sick #itsjustmyfavorite<delim> Count:2<delim> Probability:1.0
Token:fighting with the<delim> Count:2<delim> Probability:1.0
Token:surprise visits from<delim> Count:2<delim> Probability:1.0
Token:texting people with<delim> Count:2<delim> Probability:0.5
Token:getting accused of<delim> Count:2<delim> Probability:1.0
Token:being talked about<delim> Count:2<delim> Probability:1.0
Token:waking up from<delim> Count:2<delim> Probability:0.2857143
Token:walking past some<delim> Count:2<delim> Probability:1.0
Token:reading farm journals<delim> Count:2<delim> Probability:1.0
Token:being ignored #screwyou<delim> Count:2<delim> Probability:0.01
Token:having numb feet<delim> Count:2<delim> Probability:1.0
Token:being a loner<delim> Count:2<delim> Probability:1.0
Token:being single of<delim> Count:2<delim> Probability:1.0
Token:giving public speeches<delim> Count:2<delim> Probability:1.0
Token:throwing up in<delim> Count:2<delim> Probability:0.6
Token:having trust issues<delim> Count:2<delim> Probability:1.0
Token:being single on<delim> Count:2<delim> Probability:0.75
Token:getting hate thanks<delim> Count:2<delim> Probability:0.01
Token:being ignored don't<delim> Count:2<delim> Probability:1.0
Token:having friends that<delim> Count:2<delim> Probability:0.5
Token:having miss vaughn<delim> Count:2<delim> Probability:1.0
Token:having rehearsals that<delim> Count:2<delim> Probability:1.0
Token:writing essays every<delim> Count:2<delim> Probability:1.0
Token:being pushed out<delim> Count:2<delim> Probability:1.0
Token:being pulled over<delim> Count:2<delim> Probability:1.0
Token:working until close<delim> Count:2<delim> Probability:1.0
Token:being caught in<delim> Count:2<delim> Probability:1.0
Token:getting texted haha<delim> Count:2<delim> Probability:1.0
Token:getting sticked at<delim> Count:2<delim> Probability:0.01
Token:getting called out<delim> Count:2<delim> Probability:1.0
Token:waiting hours to<delim> Count:2<delim> Probability:1.0
Token:spending lunch break<delim> Count:2<delim> Probability:1.0
Token:having bad hair<delim> Count:2<delim> Probability:1.0
Token:working doubles off<delim> Count:2<delim> Probability:1.0
Token:going to baseball<delim> Count:2<delim> Probability:1.0
Token:being ugly and<delim> Count:2<delim> Probability:1.0
Token:doing half my<delim> Count:2<delim> Probability:1.0
Token:getting stung by<delim> Count:2<delim> Probability:1.0
Token:coming home everyone<delim> Count:2<delim> Probability:0.01
Token:being referred to<delim> Count:2<delim> Probability:1.0
Token:walking into the<delim> Count:2<delim> Probability:1.0
Token:having a project<delim> Count:2<delim> Probability:1.0
Token:getting ditched all<delim> Count:2<delim> Probability:1.0
Token:buying car seats<delim> Count:2<delim> Probability:1.0
Token:driving to algonquin<delim> Count:2<delim> Probability:1.0
Token:learning about managing<delim> Count:2<delim> Probability:1.0
Token:getting stuck in<delim> Count:2<delim> Probability:0.4
Token:being single especially<delim> Count:2<delim> Probability:1.0
Token:being treated this<delim> Count:2<delim> Probability:1.0
Token:writing essays #sotired<delim> Count:2<delim> Probability:0.01
Token:spending the whole<delim> Count:2<delim> Probability:1.0
Token:working {number} days<delim> Count:2<delim> Probability:0.01
Token:discussing things i<delim> Count:2<delim> Probability:1.0
Token:being ignored #ummno<delim> Count:2<delim> Probability:1.0
Token:looking outside &amp<delim> Count:2<delim> Probability:1.0
Token:playing babysitter nurse<delim> Count:2<delim> Probability:1.0
Token:being sick #miserable<delim> Count:2<delim> Probability:0.01
Token:getting lectured about<delim> Count:2<delim> Probability:1.0
Token:getting birthday presents<delim> Count:2<delim> Probability:1.0
Token:freaking being ignored<delim> Count:2<delim> Probability:1.0
Token:being ignored #truefact<delim> Count:2<delim> Probability:1.0
Token:having to come<delim> Count:2<delim> Probability:1.0
Token:getting ditched #lovesit<delim> Count:2<delim> Probability:1.0
Token:finding repulsive amounts<delim> Count:2<delim> Probability:1.0
Token:meeting time why<delim> Count:2<delim> Probability:1.0
Token:walking all the<delim> Count:2<delim> Probability:1.0
Token:being interrupted by<delim> Count:2<delim> Probability:1.0
Token:staying home one<delim> Count:2<delim> Probability:1.0
Token:working late in<delim> Count:2<delim> Probability:1.0
Token:eating squished pop<delim> Count:2<delim> Probability:1.0
Token:waking up being<delim> Count:2<delim> Probability:1.0
Token:being invited over<delim> Count:2<delim> Probability:1.0
Token:spending loads of<delim> Count:2<delim> Probability:1.0
Token:waiting an hour<delim> Count:2<delim> Probability:0.6
Token:coming home after<delim> Count:2<delim> Probability:0.75
Token:writing essays and<delim> Count:2<delim> Probability:1.0
Token:missing class because<delim> Count:2<delim> Probability:1.0
Token:is being ignored<delim> Count:2<delim> Probability:1.0
Token:being woken in<delim> Count:2<delim> Probability:1.0
Token:closing red robin<delim> Count:2<delim> Probability:1.0
Token:getting pulled out<delim> Count:2<delim> Probability:1.0
Token:being caught by<delim> Count:2<delim> Probability:0.5
Token:having alcoholics for<delim> Count:2<delim> Probability:1.0
Token:seeing people's stupid<delim> Count:2<delim> Probability:1.0
Token:getting {number} calf<delim> Count:2<delim> Probability:0.01
Token:watching others play<delim> Count:2<delim> Probability:1.0
Token:spending an hour<delim> Count:2<delim> Probability:1.0
Token:being reminded each<delim> Count:2<delim> Probability:1.0
Token:having shingles #killmenow<delim> Count:2<delim> Probability:0.01
Token:getting told off<delim> Count:2<delim> Probability:1.0
Token:getting back from<delim> Count:2<delim> Probability:1.0
Token:getting embarrassed in<delim> Count:2<delim> Probability:1.0
Token:getting bodily fluids<delim> Count:2<delim> Probability:1.0
Token:doing is paying<delim> Count:2<delim> Probability:1.0
Token:sitting home doing<delim> Count:2<delim> Probability:1.0
Token:having seasonal allergies<delim> Count:2<delim> Probability:1.0
Token:buying a new<delim> Count:2<delim> Probability:0.4
Token:being sick this<delim> Count:2<delim> Probability:1.0
Token:doing the {number}<delim> Count:2<delim> Probability:0.01
Token:being told that<delim> Count:2<delim> Probability:0.6666667
Token:having a lot<delim> Count:2<delim> Probability:0.75
Token:being sick as<delim> Count:2<delim> Probability:0.5
Token:feeling depressed and<delim> Count:2<delim> Probability:1.0
Token:hearing rumors about<delim> Count:2<delim> Probability:0.33333334
Token:having strange guys<delim> Count:2<delim> Probability:1.0
Token:being sick #thanksgarret<delim> Count:2<delim> Probability:1.0
Token:sitting in emerg<delim> Count:2<delim> Probability:1.0
Token:being canceled on<delim> Count:2<delim> Probability:1.0
Token:coming to the<delim> Count:2<delim> Probability:0.23076923
Token:getting stalked it's<delim> Count:2<delim> Probability:1.0
Token:getting audited that<delim> Count:2<delim> Probability:1.0
Token:cleaning other people's<delim> Count:2<delim> Probability:1.0
Token:cleaning everything for<delim> Count:2<delim> Probability:1.0
Token:doing homework with<delim> Count:2<delim> Probability:1.0
Token:getting depressing news<delim> Count:2<delim> Probability:1.0
Token:having big brothers<delim> Count:2<delim> Probability:1.0
Token:getting a headache<delim> Count:2<delim> Probability:1.0
